model,model_dir,mode,samples,accuracy,f1_macro,precision_macro,recall_macro,time_total_sec,time_avg_sec,confusion_matrix_path,label,precision_label,recall_label,f1_label,support_label
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text,648,0.24382716049382716,0.17929046861974338,0.2631213761229871,0.33712390428808336,41.76519298553467,0.06445245831101029,matrix_confusion_text_text.csv,hate speech,0.6138613861386139,0.15422885572139303,0.24652087475149106,402.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text,648,0.24382716049382716,0.17929046861974338,0.2631213761229871,0.33712390428808336,41.76519298553467,0.06445245831101029,matrix_confusion_text_text.csv,inappropriate content,0.0,0.0,0.0,134.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text,648,0.24382716049382716,0.17929046861974338,0.2631213761229871,0.33712390428808336,41.76519298553467,0.06445245831101029,matrix_confusion_text_text.csv,neither,0.17550274223034734,0.8571428571428571,0.291350531107739,112.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,image,648,0.6203703703703703,0.2552380952380952,0.20679012345679013,0.3333333333333333,137.1578209400177,0.2116633039197804,matrix_confusion_text_image.csv,hate speech,0.6203703703703703,1.0,0.7657142857142857,402.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,image,648,0.6203703703703703,0.2552380952380952,0.20679012345679013,0.3333333333333333,137.1578209400177,0.2116633039197804,matrix_confusion_text_image.csv,inappropriate content,0.0,0.0,0.0,134.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,image,648,0.6203703703703703,0.2552380952380952,0.20679012345679013,0.3333333333333333,137.1578209400177,0.2116633039197804,matrix_confusion_text_image.csv,neither,0.0,0.0,0.0,112.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text_description,648,0.18364197530864199,0.11272513232968996,0.2721195733814031,0.3348436389481166,42.1058075428009,0.06497809805987793,matrix_confusion_text_text_description.csv,hate speech,0.6428571428571429,0.022388059701492536,0.04326923076923077,402.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text_description,648,0.18364197530864199,0.11272513232968996,0.2721195733814031,0.3348436389481166,42.1058075428009,0.06497809805987793,matrix_confusion_text_text_description.csv,inappropriate content,0.0,0.0,0.0,134.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text_description,648,0.18364197530864199,0.11272513232968996,0.2721195733814031,0.3348436389481166,42.1058075428009,0.06497809805987793,matrix_confusion_text_text_description.csv,neither,0.17350157728706625,0.9821428571428571,0.2949061662198391,112.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text_description_image,648,0.25462962962962965,0.19293337396132623,0.34261738285138726,0.34243958777540867,176.91358399391174,0.2730147901140613,matrix_confusion_text_text_description_image.csv,hate speech,0.6509433962264151,0.17164179104477612,0.27165354330708663,402.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text_description_image,648,0.25462962962962965,0.19293337396132623,0.34261738285138726,0.34243958777540867,176.91358399391174,0.2730147901140613,matrix_confusion_text_text_description_image.csv,inappropriate content,0.2,0.007462686567164179,0.014388489208633094,134.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text_description_image,648,0.25462962962962965,0.19293337396132623,0.34261738285138726,0.34243958777540867,176.91358399391174,0.2730147901140613,matrix_confusion_text_text_description_image.csv,neither,0.17690875232774675,0.8482142857142857,0.29275808936825887,112.0
image,/home/amandazirpolo/DIMEMEX/FT_image/SmolVLM_DIMEMEX_20251125_133530 ***,text,648,0.35802469135802467,0.2550262721448561,0.264610182154197,0.33622068230277186,41.9388701915741,0.06472047869070077,matrix_confusion_image_text.csv,hate speech,0.6179775280898876,0.41044776119402987,0.49327354260089684,402.0
image,/home/amandazirpolo/DIMEMEX/FT_image/SmolVLM_DIMEMEX_20251125_133530 ***,text,648,0.35802469135802467,0.2550262721448561,0.264610182154197,0.33622068230277186,41.9388701915741,0.06472047869070077,matrix_confusion_image_text.csv,inappropriate content,0.0,0.0,0.0,134.0
image,/home/amandazirpolo/DIMEMEX/FT_image/SmolVLM_DIMEMEX_20251125_133530 ***,text,648,0.35802469135802467,0.2550262721448561,0.264610182154197,0.33622068230277186,41.9388701915741,0.06472047869070077,matrix_confusion_image_text.csv,neither,0.17585301837270342,0.5982142857142857,0.2718052738336714,112.0
